% time	cellId	IMSI	RNTI	sinrLinear
15.481	1	1	1	2638.71
15.521	1	1	1	2634.37
15.561	1	1	1	2630.03
15.601	1	1	1	2625.69
15.641	1	1	1	2621.34
15.681	1	1	1	2616.99
15.721	1	1	1	2612.64
15.761	1	1	1	2608.29
15.801	1	1	1	2603.93
15.841	1	1	1	2599.58
15.881	1	1	1	2595.22
15.921	1	1	1	2590.86
15.961	1	1	1	2586.5
16.001	1	1	1	2582.14
16.041	1	1	1	2577.78
16.081	1	1	1	2573.41
16.121	1	1	1	2569.05
16.161	1	1	1	2564.69
16.201	1	1	1	2560.32
16.241	1	1	1	2555.95
16.281	1	1	1	2551.59
16.321	1	1	1	2547.22
16.361	1	1	1	2542.85
16.401	1	1	1	2538.48
16.441	1	1	1	2534.11
16.481	1	1	1	2529.74
16.521	1	1	1	2525.38
16.561	1	1	1	2521.01
16.601	1	1	1	2516.64
16.641	1	1	1	2512.27
16.681	1	1	1	2507.9
16.721	1	1	1	2503.53
16.761	1	1	1	2499.16
16.801	1	1	1	2494.79
16.841	1	1	1	2490.43
16.881	1	1	1	2486.06
16.921	1	1	1	2481.69
16.961	1	1	1	2477.33
17.001	1	1	1	2472.96
17.041	1	1	1	2468.6
17.081	1	1	1	2464.24
17.121	1	1	1	2459.88
17.161	1	1	1	2455.52
17.201	1	1	1	2451.16
17.241	1	1	1	2446.8
17.281	1	1	1	2442.44
17.321	1	1	1	2438.08
17.361	1	1	1	2433.73
17.401	1	1	1	2429.38
17.441	1	1	1	2425.03
17.481	1	1	1	2420.68
17.521	1	1	1	2416.33
17.561	1	1	1	2411.98
17.601	1	1	1	2407.64
17.641	1	1	1	2403.29
17.681	1	1	1	2398.95
17.721	1	1	1	2394.62
17.761	1	1	1	2390.28
17.801	1	1	1	2385.94
17.841	1	1	1	2381.61
17.881	1	1	1	2377.28
17.921	1	1	1	2372.95
17.961	1	1	1	2368.63
18.001	1	1	1	2364.31
18.041	1	1	1	2359.99
18.081	1	1	1	2355.67
