% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
4111	1	1	1	0	28	2292	0	1
4121	1	1	1	0	28	2292	0	1
4131	1	1	1	0	28	2292	0	1
4141	1	1	1	0	28	2292	0	1
4151	1	1	1	0	28	2292	0	1
4161	1	1	1	0	28	2292	0	1
4171	1	1	1	0	28	2292	0	1
4191	1	1	1	0	28	2292	0	1
4201	1	1	1	0	28	2292	0	1
4211	1	1	1	0	28	2292	0	1
4221	1	1	1	0	28	2292	0	1
4231	1	1	1	0	28	2292	0	1
4241	1	1	1	0	28	2292	0	1
4251	1	1	1	0	28	2292	0	1
4261	1	1	1	0	28	2292	0	1
4271	1	1	1	0	28	2292	0	1
4281	1	1	1	0	28	2292	0	1
4291	1	1	1	0	28	2292	0	1
4301	1	1	1	0	28	2292	0	1
4311	1	1	1	0	28	2292	0	1
4321	1	1	1	0	28	2292	0	1
4331	1	1	1	0	28	2292	0	1
4341	1	1	1	0	28	2292	0	1
4351	1	1	1	0	28	2292	0	1
4361	1	1	1	0	28	2292	0	1
4371	1	1	1	0	28	2292	0	1
4381	1	1	1	0	28	2292	0	1
4391	1	1	1	0	28	2292	0	1
4401	1	1	1	0	28	2292	0	1
4411	1	1	1	0	28	2292	0	1
4421	1	1	1	0	28	2292	0	1
4431	1	1	1	0	28	2292	0	1
4441	1	1	1	0	28	2292	0	1
4451	1	1	1	0	28	2292	0	1
4461	1	1	1	0	28	2292	0	1
4471	1	1	1	0	28	2292	0	1
4481	1	1	1	0	28	2292	0	1
4491	1	1	1	0	28	2292	0	1
4501	1	1	1	0	28	2292	0	1
4511	1	1	1	0	28	2292	0	1
4521	1	1	1	0	28	2292	0	1
4531	1	1	1	0	28	2292	0	1
4541	1	1	1	0	28	2292	0	1
4551	1	1	1	0	28	2292	0	1
4561	1	1	1	0	28	2292	0	1
4571	1	1	1	0	28	2292	0	1
4581	1	1	1	0	28	2292	0	1
4591	1	1	1	0	28	2292	0	1
4601	1	1	1	0	28	2292	0	1
4611	1	1	1	0	28	2292	0	1
4621	1	1	1	0	28	2292	0	1
4631	1	1	1	0	28	2292	0	1
4641	1	1	1	0	28	2292	0	1
4651	1	1	1	0	28	2292	0	1
4661	1	1	1	0	28	2292	0	1
4671	1	1	1	0	28	2292	0	1
4681	1	1	1	0	28	2292	0	1
4691	1	1	1	0	28	2292	0	1
4701	1	1	1	0	28	2292	0	1
4711	1	1	1	0	28	2292	0	1
4721	1	1	1	0	28	2292	0	1
4731	1	1	1	0	28	2292	0	1
4741	1	1	1	0	28	2292	0	1
4751	1	1	1	0	28	2292	0	1
4761	1	1	1	0	28	2292	0	1
4771	1	1	1	0	28	2292	0	1
4781	1	1	1	0	28	2292	0	1
4791	1	1	1	0	28	2292	0	1
4801	1	1	1	0	28	2292	0	1
4811	1	1	1	0	28	2292	0	1
4821	1	1	1	0	28	2292	0	1
4831	1	1	1	0	28	2292	0	1
4841	1	1	1	0	28	2292	0	1
4851	1	1	1	0	28	2292	0	1
4861	1	1	1	0	28	2292	0	1
4871	1	1	1	0	28	2292	0	1
4881	1	1	1	0	28	2292	0	1
4891	1	1	1	0	28	2292	0	1
4901	1	1	1	0	28	2292	0	1
4911	1	1	1	0	28	2292	0	1
4921	1	1	1	0	28	2292	0	1
4931	1	1	1	0	28	2292	0	1
4941	1	1	1	0	28	2292	0	1
4951	1	1	1	0	28	2292	0	1
4961	1	1	1	0	28	2292	0	1
4971	1	1	1	0	28	2292	0	1
4981	1	1	1	0	28	2292	0	1
4991	1	1	1	0	28	2292	0	1
5001	1	1	1	0	28	2292	0	1
5011	1	1	1	0	28	2292	0	1
5021	1	1	1	0	28	2292	0	1
5031	1	1	1	0	28	2292	0	1
5041	1	1	1	0	28	2292	0	1
5051	1	1	1	0	28	2292	0	1
5061	1	1	1	0	28	2292	0	1
5071	1	1	1	0	28	2292	0	1
5081	1	1	1	0	28	2292	0	1
5091	1	1	1	0	28	2292	0	1
5101	1	1	1	0	28	2292	0	1
5111	1	1	1	0	28	2292	0	1
5121	1	1	1	0	28	2292	0	1
5131	1	1	1	0	28	2292	0	1
5141	1	1	1	0	28	2292	0	1
5151	1	1	1	0	28	2292	0	1
5171	1	1	1	0	28	2292	0	1
5181	1	1	1	0	28	2292	0	1
5191	1	1	1	0	28	2292	0	1
5201	1	1	1	0	28	2292	0	1
5211	1	1	1	0	28	2292	0	1
5221	1	1	1	0	28	2292	0	1
5241	1	1	1	0	28	2292	0	1
5251	1	1	1	0	28	2292	0	1
5261	1	1	1	0	28	2292	0	1
5271	1	1	1	0	28	2292	0	1
5281	1	1	1	0	28	2292	0	1
5291	1	1	1	0	28	2292	0	1
5301	1	1	1	0	28	2292	0	1
5311	1	1	1	0	28	2292	0	1
5321	1	1	1	0	28	2292	0	1
5331	1	1	1	0	28	2292	0	1
5341	1	1	1	0	28	2292	0	1
5351	1	1	1	0	28	2292	0	1
5371	1	1	1	0	28	2292	0	1
5381	1	1	1	0	28	2292	0	1
5391	1	1	1	0	28	2292	0	1
5401	1	1	1	0	28	2292	0	1
5411	1	1	1	0	28	2292	0	1
5421	1	1	1	0	28	2292	0	1
5431	1	1	1	0	28	2292	0	1
5441	1	1	1	0	28	2292	0	1
5451	1	1	1	0	28	2292	0	1
5461	1	1	1	0	28	2292	0	1
5471	1	1	1	0	28	2292	0	1
5481	1	1	1	0	28	2292	0	1
5491	1	1	1	0	28	2292	0	1
5501	1	1	1	0	28	2292	0	1
5511	1	1	1	0	28	2292	0	1
5521	1	1	1	0	28	2292	0	1
5531	1	1	1	0	28	2292	0	1
5541	1	1	1	0	28	2292	0	1
5551	1	1	1	0	28	2292	0	1
5561	1	1	1	0	28	2292	0	1
5571	1	1	1	0	28	2292	0	1
5581	1	1	1	0	28	2292	0	1
5591	1	1	1	0	28	2292	0	1
5601	1	1	1	0	28	2292	0	1
5611	1	1	1	0	28	2292	0	1
5621	1	1	1	0	28	2292	0	1
5631	1	1	1	0	28	2292	0	1
5641	1	1	1	0	28	2292	0	1
5651	1	1	1	0	28	2292	0	1
5661	1	1	1	0	28	2292	0	1
5671	1	1	1	0	28	2292	0	1
5681	1	1	1	0	28	2292	0	1
5691	1	1	1	0	28	2292	0	1
5701	1	1	1	0	28	2292	0	1
5711	1	1	1	0	28	2292	0	1
5721	1	1	1	0	28	2292	0	1
5731	1	1	1	0	28	2292	0	1
5751	1	1	1	0	28	2292	0	1
5761	1	1	1	0	28	2292	0	1
5771	1	1	1	0	28	2292	0	1
5781	1	1	1	0	28	2292	0	1
5791	1	1	1	0	28	2292	0	1
5801	1	1	1	0	28	2292	0	1
5811	1	1	1	0	28	2292	0	1
5821	1	1	1	0	28	2292	0	1
5831	1	1	1	0	28	2292	0	1
5841	1	1	1	0	28	2292	0	1
5851	1	1	1	0	28	2292	0	1
5861	1	1	1	0	28	2292	0	1
5871	1	1	1	0	28	2292	0	1
5881	1	1	1	0	28	2292	0	1
5901	1	1	1	0	28	2292	0	1
5911	1	1	1	0	28	2292	0	1
5921	1	1	1	0	28	2292	0	1
5931	1	1	1	0	28	2292	0	1
5941	1	1	1	0	28	2292	0	1
5951	1	1	1	0	28	2292	0	1
5961	1	1	1	0	28	2292	0	1
5971	1	1	1	0	28	2292	0	1
5981	1	1	1	0	28	2292	0	1
5991	1	1	1	0	28	2292	0	1
6001	1	1	1	0	28	2292	0	1
6021	1	1	1	0	28	2292	0	1
6031	1	1	1	0	28	2292	0	1
6041	1	1	1	0	28	2292	0	1
6051	1	1	1	0	28	2292	0	1
6061	1	1	1	0	28	2292	0	1
6071	1	1	1	0	28	2292	0	1
6081	1	1	1	0	28	2292	0	1
6091	1	1	1	0	28	2292	0	1
6101	1	1	1	0	28	2292	0	1
6111	1	1	1	0	28	2292	0	1
6121	1	1	1	0	28	2292	0	1
6131	1	1	1	0	28	2292	0	1
6141	1	1	1	0	28	2292	0	1
6151	1	1	1	0	28	2292	0	1
6161	1	1	1	0	28	2292	0	1
6171	1	1	1	0	28	2292	0	1
6181	1	1	1	0	28	2292	0	1
6191	1	1	1	0	28	2292	0	1
6201	1	1	1	0	28	2292	0	1
6211	1	1	1	0	28	2292	0	1
6221	1	1	1	0	28	2292	0	1
6231	1	1	1	0	28	2292	0	1
6241	1	1	1	0	28	2292	0	1
6251	1	1	1	0	28	2292	0	1
6261	1	1	1	0	28	2292	0	1
6271	1	1	1	0	28	2292	0	1
6281	1	1	1	0	28	2292	0	1
6291	1	1	1	0	28	2292	0	1
6301	1	1	1	0	28	2292	0	1
6311	1	1	1	0	28	2292	0	1
6321	1	1	1	0	28	2292	0	1
6331	1	1	1	0	28	2292	0	1
6341	1	1	1	0	28	2292	0	1
6351	1	1	1	0	28	2292	0	1
6361	1	1	1	0	28	2292	0	1
6371	1	1	1	0	28	2292	0	1
6381	1	1	1	0	28	2292	0	1
6391	1	1	1	0	28	2292	0	1
6401	1	1	1	0	28	2292	0	1
6421	1	1	1	0	28	2292	0	1
6431	1	1	1	0	28	2292	0	1
6441	1	1	1	0	28	2292	0	1
6451	1	1	1	0	28	2292	0	1
6461	1	1	1	0	28	2292	0	1
6471	1	1	1	0	28	2292	0	1
6481	1	1	1	0	28	2292	0	1
6491	1	1	1	0	28	2292	0	1
6501	1	1	1	0	28	2292	0	1
6511	1	1	1	0	28	2292	0	1
6521	1	1	1	0	28	2292	0	1
6531	1	1	1	0	28	2292	0	1
6541	1	1	1	0	28	2292	0	1
6551	1	1	1	0	28	2292	0	1
6561	1	1	1	0	28	2292	0	1
6571	1	1	1	0	28	2292	0	1
6581	1	1	1	0	28	2292	0	1
6591	1	1	1	0	28	2292	0	1
6601	1	1	1	0	28	2292	0	1
6611	1	1	1	0	28	2292	0	1
6621	1	1	1	0	28	2292	0	1
6631	1	1	1	0	28	2292	0	1
6641	1	1	1	0	28	2292	0	1
6651	1	1	1	0	28	2292	0	1
6661	1	1	1	0	28	2292	0	1
6671	1	1	1	0	28	2292	0	1
6681	1	1	1	0	28	2292	0	1
6691	1	1	1	0	28	2292	0	1
6701	1	1	1	0	28	2292	0	1
6711	1	1	1	0	28	2292	0	1
6721	1	1	1	0	28	2292	0	1
6731	1	1	1	0	28	2292	0	1
6741	1	1	1	0	28	2292	0	1
6751	1	1	1	0	28	2292	0	1
6761	1	1	1	0	28	2292	0	1
6771	1	1	1	0	28	2292	0	1
6781	1	1	1	0	28	2292	0	1
6791	1	1	1	0	28	2292	0	1
6801	1	1	1	0	28	2292	0	1
6811	1	1	1	0	28	2292	0	1
6821	1	1	1	0	28	2292	0	1
6831	1	1	1	0	28	2292	0	1
6841	1	1	1	0	28	2292	0	1
6851	1	1	1	0	28	2292	0	1
6861	1	1	1	0	28	2292	0	1
6871	1	1	1	0	28	2292	0	1
6881	1	1	1	0	28	2292	0	1
6891	1	1	1	0	28	2292	0	1
6901	1	1	1	0	28	2292	0	1
6911	1	1	1	0	28	2292	0	1
6921	1	1	1	0	28	2292	0	1
6931	1	1	1	0	28	2292	0	1
6941	1	1	1	0	28	2292	0	1
6951	1	1	1	0	28	2292	0	1
6961	1	1	1	0	28	2292	0	1
6971	1	1	1	0	28	2292	0	1
6981	1	1	1	0	28	2292	0	1
6991	1	1	1	0	28	2292	0	1
7001	1	1	1	0	28	2292	0	1
7011	1	1	1	0	28	2292	0	1
7021	1	1	1	0	28	2292	0	1
7031	1	1	1	0	28	2292	0	1
7041	1	1	1	0	28	2292	0	1
7051	1	1	1	0	28	2292	0	1
7061	1	1	1	0	28	2292	0	1
7071	1	1	1	0	28	2292	0	1
7081	1	1	1	0	28	2292	0	1
7091	1	1	1	0	28	2292	0	1
7101	1	1	1	0	28	2292	0	1
7111	1	1	1	0	28	2292	0	1
7121	1	1	1	0	28	2292	0	1
