% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
13.985	2	1	1399	6	1	28	2292
13.995	2	1	1400	6	1	28	2292
14.005	2	1	1401	6	1	28	2292
14.015	2	1	1402	6	1	28	2292
14.025	2	1	1403	6	1	28	2292
14.035	2	1	1404	6	1	28	2292
14.045	2	1	1405	6	1	28	2292
14.055	2	1	1406	6	1	28	2292
14.065	2	1	1407	6	1	28	2292
14.075	2	1	1408	6	1	28	2292
14.085	2	1	1409	6	1	28	2292
14.095	2	1	1410	6	1	28	2292
14.105	2	1	1411	6	1	28	2292
14.115	2	1	1412	6	1	28	2292
14.125	2	1	1413	6	1	28	2292
14.126	2	1	1413	7	1	28	2292
14.135	2	1	1414	6	1	28	2292
14.145	2	1	1415	6	1	28	2292
14.155	2	1	1416	6	1	28	2292
14.165	2	1	1417	6	1	28	2292
14.175	2	1	1418	6	1	28	2292
14.185	2	1	1419	6	1	28	2292
14.195	2	1	1420	6	1	28	2292
14.205	2	1	1421	6	1	28	2292
14.215	2	1	1422	6	1	28	2292
14.225	2	1	1423	6	1	28	2292
14.235	2	1	1424	6	1	28	2292
14.245	2	1	1425	6	1	28	2292
14.255	2	1	1426	6	1	28	2292
14.265	2	1	1427	6	1	28	2292
14.275	2	1	1428	6	1	28	2292
14.285	2	1	1429	6	1	28	2292
14.295	2	1	1430	6	1	28	2292
14.305	2	1	1431	6	1	28	2292
14.315	2	1	1432	6	1	28	2292
14.325	2	1	1433	6	1	28	2292
14.335	2	1	1434	6	1	28	2292
14.345	2	1	1435	6	1	28	2292
14.355	2	1	1436	6	1	28	2292
14.365	2	1	1437	6	1	28	2292
14.375	2	1	1438	6	1	28	2292
14.385	2	1	1439	6	1	28	2292
14.395	2	1	1440	6	1	28	2292
14.405	2	1	1441	6	1	28	2292
14.415	2	1	1442	6	1	28	2292
14.425	2	1	1443	6	1	28	2292
14.435	2	1	1444	6	1	28	2292
14.445	2	1	1445	6	1	28	2292
14.455	2	1	1446	6	1	28	2292
14.465	2	1	1447	6	1	28	2292
14.475	2	1	1448	6	1	28	2292
14.485	2	1	1449	6	1	28	2292
14.495	2	1	1450	6	1	28	2292
14.505	2	1	1451	6	1	28	2292
14.515	2	1	1452	6	1	28	2292
14.525	2	1	1453	6	1	28	2292
14.535	2	1	1454	6	1	28	2292
14.545	2	1	1455	6	1	28	2292
14.555	2	1	1456	6	1	28	2292
14.565	2	1	1457	6	1	28	2292
14.575	2	1	1458	6	1	28	2292
14.585	2	1	1459	6	1	28	2292
14.595	2	1	1460	6	1	28	2292
14.605	2	1	1461	6	1	28	2292
14.615	2	1	1462	6	1	28	2292
14.625	2	1	1463	6	1	28	2292
14.635	2	1	1464	6	1	28	2292
14.645	2	1	1465	6	1	28	2292
14.655	2	1	1466	6	1	28	2292
14.665	2	1	1467	6	1	28	2292
14.675	2	1	1468	6	1	28	2292
14.685	2	1	1469	6	1	28	2292
14.695	2	1	1470	6	1	28	2292
14.705	2	1	1471	6	1	28	2292
14.715	2	1	1472	6	1	28	2292
14.725	2	1	1473	6	1	28	2292
14.735	2	1	1474	6	1	28	2292
14.745	2	1	1475	6	1	28	2292
14.755	2	1	1476	6	1	28	2292
14.765	2	1	1477	6	1	28	2292
14.775	2	1	1478	6	1	28	2292
14.785	2	1	1479	6	1	28	2292
14.795	2	1	1480	6	1	28	2292
14.805	2	1	1481	6	1	28	2292
14.815	2	1	1482	6	1	28	2292
14.825	2	1	1483	6	1	28	2292
14.835	2	1	1484	6	1	28	2292
14.845	2	1	1485	6	1	28	2292
14.855	2	1	1486	6	1	28	2292
14.865	2	1	1487	6	1	28	2292
14.875	2	1	1488	6	1	28	2292
14.885	2	1	1489	6	1	28	2292
14.895	2	1	1490	6	1	28	2292
14.905	2	1	1491	6	1	28	2292
14.915	2	1	1492	6	1	28	2292
14.925	2	1	1493	6	1	28	2292
14.935	2	1	1494	6	1	28	2292
14.945	2	1	1495	6	1	28	2292
14.955	2	1	1496	6	1	28	2292
14.965	2	1	1497	6	1	28	2292
14.975	2	1	1498	6	1	28	2292
14.985	2	1	1499	6	1	28	2292
14.995	2	1	1500	6	1	28	2292
15.005	2	1	1501	6	1	28	2292
15.015	2	1	1502	6	1	28	2292
15.025	2	1	1503	6	1	28	2292
15.035	2	1	1504	6	1	28	2292
15.045	2	1	1505	6	1	28	2292
15.055	2	1	1506	6	1	28	2292
15.065	2	1	1507	6	1	28	2292
15.075	2	1	1508	6	1	28	2292
15.085	2	1	1509	6	1	28	2292
15.095	2	1	1510	6	1	28	2292
15.105	2	1	1511	6	1	28	2292
15.115	2	1	1512	6	1	28	2292
15.125	2	1	1513	6	1	28	2292
15.135	2	1	1514	6	1	28	2292
15.145	2	1	1515	6	1	28	2292
15.155	2	1	1516	6	1	28	2292
15.165	2	1	1517	6	1	28	2292
15.175	2	1	1518	6	1	28	2292
15.185	2	1	1519	6	1	28	2292
15.195	2	1	1520	6	1	28	2292
15.205	2	1	1521	6	1	28	2292
15.215	2	1	1522	6	1	28	2292
