% time	cellId	IMSI	RNTI	rsrp	sinr
2.57321	1	1	1	1.03505e-10	218207
2.57421	1	1	1	1.03506e-10	218210
2.57521	1	1	1	1.03507e-10	218212
2.57621	1	1	1	1.03508e-10	218215
2.57721	1	1	1	1.0351e-10	218217
2.57821	1	1	1	1.03511e-10	218220
2.57921	1	1	1	1.03512e-10	218223
2.58021	1	1	1	1.03513e-10	218225
2.58121	1	1	1	1.03515e-10	218228
2.58221	1	1	1	1.03516e-10	218230
2.58321	1	1	1	1.03517e-10	218233
2.58421	1	1	1	1.03518e-10	218236
2.58521	1	1	1	1.0352e-10	218238
2.58621	1	1	1	1.03521e-10	218241
2.58721	1	1	1	1.03522e-10	218243
2.58821	1	1	1	1.03523e-10	218246
2.58921	1	1	1	1.03524e-10	218249
2.59021	1	1	1	1.03526e-10	218251
2.59121	1	1	1	1.03527e-10	218254
2.59221	1	1	1	1.03528e-10	218256
2.59321	1	1	1	1.03529e-10	218259
2.59421	1	1	1	1.03531e-10	218262
2.59521	1	1	1	1.03532e-10	218264
2.59621	1	1	1	1.03533e-10	218267
2.59721	1	1	1	1.03534e-10	218269
2.59821	1	1	1	1.03535e-10	218272
2.59921	1	1	1	1.03537e-10	218275
2.60021	1	1	1	1.03538e-10	218277
2.60121	1	1	1	1.03539e-10	218280
2.60221	1	1	1	1.0354e-10	218282
2.60321	1	1	1	1.03542e-10	218285
2.60421	1	1	1	1.03543e-10	218287
2.60521	1	1	1	1.03544e-10	218290
2.60621	1	1	1	1.03545e-10	218293
2.60721	1	1	1	1.03546e-10	218295
2.60821	1	1	1	1.03548e-10	218298
2.60921	1	1	1	1.03549e-10	218300
2.61021	1	1	1	1.0355e-10	218303
2.61121	1	1	1	1.03551e-10	218305
2.61221	1	1	1	1.03553e-10	218308
2.61321	1	1	1	1.03554e-10	218311
2.61421	1	1	1	1.03555e-10	218313
2.61521	1	1	1	1.03556e-10	218316
2.61621	1	1	1	1.03557e-10	218318
2.61721	1	1	1	1.03559e-10	218321
2.61821	1	1	1	1.0356e-10	218323
2.61921	1	1	1	1.03561e-10	218326
2.62021	1	1	1	1.03562e-10	218329
2.62121	1	1	1	1.03564e-10	218331
2.62221	1	1	1	1.03565e-10	218334
2.62321	1	1	1	1.03566e-10	218336
2.62421	1	1	1	1.03567e-10	218339
2.62521	1	1	1	1.03568e-10	218341
2.62621	1	1	1	1.0357e-10	218344
2.62721	1	1	1	1.03571e-10	218346
2.62821	1	1	1	1.03572e-10	218349
2.62921	1	1	1	1.03573e-10	218352
2.63021	1	1	1	1.03574e-10	218354
2.63121	1	1	1	1.03576e-10	218357
2.63221	1	1	1	1.03577e-10	218359
2.63321	1	1	1	1.03578e-10	218362
2.63421	1	1	1	1.03579e-10	218364
2.63521	1	1	1	1.03581e-10	218367
2.63621	1	1	1	1.03582e-10	218369
2.63721	1	1	1	1.03583e-10	218372
2.63821	1	1	1	1.03584e-10	218375
2.63921	1	1	1	1.03585e-10	218377
2.64021	1	1	1	1.03587e-10	218380
2.64121	1	1	1	1.03588e-10	218382
2.64221	1	1	1	1.03589e-10	218385
2.64321	1	1	1	1.0359e-10	218387
2.64421	1	1	1	1.03591e-10	218390
2.64521	1	1	1	1.03593e-10	218392
2.64621	1	1	1	1.03594e-10	218395
2.64721	1	1	1	1.03595e-10	218397
2.64821	1	1	1	1.03596e-10	218400
2.64921	1	1	1	1.03597e-10	218402
2.65021	1	1	1	1.03599e-10	218405
2.65121	1	1	1	1.036e-10	218407
2.65221	1	1	1	1.03601e-10	218410
2.65321	1	1	1	1.03602e-10	218413
2.65421	1	1	1	1.03603e-10	218415
2.65521	1	1	1	1.03605e-10	218418
2.65621	1	1	1	1.03606e-10	218420
2.65721	1	1	1	1.03607e-10	218423
2.65821	1	1	1	1.03608e-10	218425
2.65921	1	1	1	1.03609e-10	218428
2.66021	1	1	1	1.03611e-10	218430
2.66121	1	1	1	1.03612e-10	218433
2.66221	1	1	1	1.03613e-10	218435
2.66321	1	1	1	1.03614e-10	218438
2.66421	1	1	1	1.03615e-10	218440
2.66521	1	1	1	1.03617e-10	218443
2.66621	1	1	1	1.03618e-10	218445
2.66721	1	1	1	1.03619e-10	218448
2.66821	1	1	1	1.0362e-10	218450
2.66921	1	1	1	1.03621e-10	218453
2.67021	1	1	1	1.03622e-10	218455
2.67121	1	1	1	1.03624e-10	218458
2.67221	1	1	1	1.03625e-10	218460
2.67321	1	1	1	1.03626e-10	218463
2.67421	1	1	1	1.03627e-10	218465
2.67521	1	1	1	1.03628e-10	218468
2.67621	1	1	1	1.0363e-10	218470
2.67721	1	1	1	1.03631e-10	218473
2.67821	1	1	1	1.03632e-10	218475
2.67921	1	1	1	1.03633e-10	218478
2.68021	1	1	1	1.03634e-10	218480
2.68121	1	1	1	1.03636e-10	218483
2.68221	1	1	1	1.03637e-10	218485
2.68321	1	1	1	1.03638e-10	218488
2.68421	1	1	1	1.03639e-10	218490
2.68521	1	1	1	1.0364e-10	218493
2.68621	1	1	1	1.03641e-10	218495
2.68721	1	1	1	1.03643e-10	218498
2.68821	1	1	1	1.03644e-10	218500
2.68921	1	1	1	1.03645e-10	218503
2.69021	1	1	1	1.03646e-10	218505
2.69121	1	1	1	1.03647e-10	218508
2.69221	1	1	1	1.03649e-10	218510
2.69321	1	1	1	1.0365e-10	218513
2.69421	1	1	1	1.03651e-10	218515
2.69521	1	1	1	1.03652e-10	218518
2.69621	1	1	1	1.03653e-10	218520
2.69721	1	1	1	1.03654e-10	218523
2.69821	1	1	1	1.03656e-10	218525
2.69921	1	1	1	1.03657e-10	218528
2.70021	1	1	1	1.03658e-10	218530
2.70121	1	1	1	1.03659e-10	218533
2.70221	1	1	1	1.0366e-10	218535
2.70321	1	1	1	1.03662e-10	218538
2.70421	1	1	1	1.03663e-10	218540
2.70521	1	1	1	1.03664e-10	218543
2.70621	1	1	1	1.03665e-10	218545
2.70721	1	1	1	1.03666e-10	218548
2.70821	1	1	1	1.03667e-10	218550
2.70921	1	1	1	1.03669e-10	218553
2.71021	1	1	1	1.0367e-10	218555
2.71121	1	1	1	1.03671e-10	218557
2.71221	1	1	1	1.03672e-10	218560
2.71321	1	1	1	1.03673e-10	218562
