% time	cellId	IMSI	RNTI	sinrLinear
15.721	1	1	1	5328.31
15.761	1	1	1	5328.33
15.801	1	1	1	5328.35
15.841	1	1	1	5328.36
15.881	1	1	1	5328.38
15.921	1	1	1	5328.4
15.961	1	1	1	5328.41
16.001	1	1	1	5328.43
16.041	1	1	1	5328.45
16.081	1	1	1	5328.47
16.121	1	1	1	5328.48
16.161	1	1	1	5328.5
16.201	1	1	1	5328.52
16.241	1	1	1	5328.54
16.281	1	1	1	5328.55
16.321	1	1	1	5328.57
16.361	1	1	1	5328.59
16.401	1	1	1	5328.61
16.441	1	1	1	5328.63
16.481	1	1	1	5328.65
16.521	1	1	1	5328.67
16.561	1	1	1	5328.69
16.601	1	1	1	5328.71
16.641	1	1	1	5328.73
16.681	1	1	1	5328.75
16.721	1	1	1	5328.77
16.761	1	1	1	5328.79
16.801	1	1	1	5328.81
16.841	1	1	1	5328.83
16.881	1	1	1	5328.85
16.921	1	1	1	5328.87
16.961	1	1	1	5328.89
17.001	1	1	1	5328.91
17.041	1	1	1	5328.94
17.081	1	1	1	5328.96
17.121	1	1	1	5328.98
17.161	1	1	1	5329
17.201	1	1	1	5329.02
17.241	1	1	1	5329.05
17.281	1	1	1	5329.07
17.321	1	1	1	5329.09
17.361	1	1	1	5329.12
17.401	1	1	1	5329.14
17.441	1	1	1	5329.17
17.481	1	1	1	5329.19
17.521	1	1	1	5329.22
17.561	1	1	1	5329.24
17.601	1	1	1	5329.27
17.641	1	1	1	5329.29
17.681	1	1	1	5329.32
17.721	1	1	1	5329.34
17.761	1	1	1	5329.37
17.801	1	1	1	5329.4
17.841	1	1	1	5329.42
17.881	1	1	1	5329.45
17.921	1	1	1	5329.48
17.961	1	1	1	5329.51
18.001	1	1	1	5329.53
18.041	1	1	1	5329.56
18.081	1	1	1	5329.59
18.121	1	1	1	5329.62
18.161	1	1	1	5329.65
18.201	1	1	1	5329.68
18.241	1	1	1	5329.71
18.281	1	1	1	5329.74
18.321	1	1	1	5329.77
18.361	1	1	1	5329.8
18.401	1	1	1	5329.83
18.441	1	1	1	5329.87
18.481	1	1	1	5329.9
18.521	1	1	1	5329.93
18.561	1	1	1	5329.97
18.601	1	1	1	5330
18.641	1	1	1	5330.03
18.681	1	1	1	5330.07
18.721	1	1	1	5330.1
18.761	1	1	1	5330.14
18.801	1	1	1	5330.17
18.841	1	1	1	5330.21
18.881	1	1	1	5330.25
18.921	1	1	1	5330.29
18.961	1	1	1	5330.32
19.001	1	1	1	5330.36
19.041	1	1	1	5330.4
19.081	1	1	1	5330.44
19.121	1	1	1	5330.48
19.161	1	1	1	5330.52
19.201	1	1	1	5330.56
19.241	1	1	1	5330.6
19.281	1	1	1	5330.64
19.321	1	1	1	5330.69
19.361	1	1	1	5330.73
19.401	1	1	1	5330.78
19.441	1	1	1	5330.82
19.481	1	1	1	5330.87
19.521	1	1	1	5330.91
19.561	1	1	1	5330.96
19.601	1	1	1	5331.01
19.641	1	1	1	5331.05
19.681	1	1	1	5331.1
19.721	1	1	1	5331.15
19.761	1	1	1	5331.2
19.801	1	1	1	5331.25
19.841	1	1	1	5331.3
19.881	1	1	1	5331.36
19.921	1	1	1	5331.41
19.961	1	1	1	5331.46
20.001	1	1	1	5331.52
20.041	1	1	1	5331.58
20.081	1	1	1	5331.63
20.121	1	1	1	5331.69
20.161	1	1	1	5331.75
20.201	1	1	1	5331.81
20.241	1	1	1	5331.87
20.281	1	1	1	5331.93
20.321	1	1	1	5332
20.361	1	1	1	5332.06
20.401	1	1	1	5332.12
20.441	1	1	1	5332.19
20.481	1	1	1	5332.26
20.521	1	1	1	5332.33
20.561	1	1	1	5332.4
20.601	1	1	1	5332.47
20.641	1	1	1	5332.54
20.681	1	1	1	5332.61
20.721	1	1	1	5332.69
20.761	1	1	1	5332.77
20.801	1	1	1	5332.84
20.841	1	1	1	5332.92
20.881	1	1	1	5333
20.921	1	1	1	5333.09
20.961	1	1	1	5333.17
21.001	1	1	1	5333.26
21.041	1	1	1	5333.35
21.081	1	1	1	5333.44
21.121	1	1	1	5333.53
21.161	1	1	1	5333.62
21.201	1	1	1	5333.72
21.241	1	1	1	5333.81
21.281	1	1	1	5333.91
21.321	1	1	1	5334.01
21.361	1	1	1	5334.12
21.401	1	1	1	5334.22
21.441	1	1	1	5334.33
21.481	1	1	1	5334.44
21.521	1	1	1	5334.56
21.561	1	1	1	5334.67
21.601	1	1	1	5334.79
21.641	1	1	1	5334.91
21.681	1	1	1	5335.04
21.721	1	1	1	5335.17
21.761	1	1	1	5335.3
21.801	1	1	1	5335.43
21.841	1	1	1	5335.57
21.881	1	1	1	5335.71
21.921	1	1	1	5335.85
21.961	1	1	1	5336
22.001	1	1	1	5336.15
22.041	1	1	1	5336.31
22.081	1	1	1	5336.47
22.121	1	1	1	5336.64
22.161	1	1	1	5336.81
22.201	1	1	1	5336.98
22.241	1	1	1	5337.16
22.281	1	1	1	5337.35
22.321	1	1	1	5337.54
22.361	1	1	1	5337.74
22.401	1	1	1	5337.94
22.441	1	1	1	5338.15
22.481	1	1	1	5338.36
22.521	1	1	1	5338.59
22.561	1	1	1	5338.81
22.601	1	1	1	5339.05
22.641	1	1	1	5339.3
22.681	1	1	1	5339.55
22.721	1	1	1	5339.82
22.761	1	1	1	5340.09
22.801	1	1	1	5340.37
22.841	1	1	1	5340.66
22.881	1	1	1	5340.97
22.921	1	1	1	5341.28
22.961	1	1	1	5341.61
23.001	1	1	1	5341.95
23.041	1	1	1	5342.31
23.081	1	1	1	5342.68
23.121	1	1	1	5343.06
23.161	1	1	1	5343.46
23.201	1	1	1	5343.88
23.241	1	1	1	5344.32
23.281	1	1	1	5344.78
23.321	1	1	1	5345.26
23.361	1	1	1	5345.77
23.401	1	1	1	5346.3
23.441	1	1	1	5346.86
23.481	1	1	1	5347.44
23.521	1	1	1	5348.06
23.561	1	1	1	5348.72
23.601	1	1	1	5349.41
23.641	1	1	1	5350.14
23.681	1	1	1	5350.91
23.721	1	1	1	5351.74
23.761	1	1	1	5352.62
23.801	1	1	1	5353.55
23.841	1	1	1	5354.55
23.881	1	1	1	5355.62
23.921	1	1	1	5356.78
23.961	1	1	1	5358.02
24.001	1	1	1	5359.35
24.041	1	1	1	5360.81
24.081	1	1	1	5362.38
24.121	1	1	1	5364.11
24.161	1	1	1	5365.99
24.201	1	1	1	5368.07
24.241	1	1	1	5370.36
24.281	1	1	1	5372.91
24.321	1	1	1	5375.76
24.361	1	1	1	5378.96
24.401	1	1	1	5382.6
24.441	1	1	1	5386.75
24.481	1	1	1	5391.55
24.521	1	1	1	5397.15
24.561	1	1	1	5403.77
24.601	1	1	1	5411.71
24.641	1	1	1	5421.43
24.681	1	1	1	5433.59
24.721	1	1	1	5449.24
24.761	1	1	1	5470.15
24.801	1	1	1	5499.47
24.841	1	1	1	5543.58
24.881	1	1	1	5617.46
24.921	1	1	1	5766.59
24.961	1	1	1	6225.64
25.001	1	1	1	781996
25.041	1	1	1	4481.63
25.081	1	1	1	4897.33
25.121	1	1	1	5038.27
25.161	1	1	1	5109.27
25.201	1	1	1	5152.05
25.241	1	1	1	5180.64
25.281	1	1	1	5201.11
25.321	1	1	1	5216.48
25.361	1	1	1	5228.44
25.401	1	1	1	5238.02
25.441	1	1	1	5245.87
25.481	1	1	1	5252.41
25.521	1	1	1	5257.94
25.561	1	1	1	5262.69
25.601	1	1	1	5266.81
25.641	1	1	1	5270.41
25.681	1	1	1	5273.59
25.721	1	1	1	5276.42
25.761	1	1	1	5278.95
25.801	1	1	1	5281.22
25.841	1	1	1	5283.28
25.881	1	1	1	5285.16
25.921	1	1	1	5286.87
25.961	1	1	1	5288.44
26.001	1	1	1	5289.88
26.041	1	1	1	5291.21
26.081	1	1	1	5292.45
26.121	1	1	1	5293.59
26.161	1	1	1	5294.66
26.201	1	1	1	5295.66
26.241	1	1	1	5296.59
26.281	1	1	1	5297.46
26.321	1	1	1	5298.28
26.361	1	1	1	5299.05
26.401	1	1	1	5299.78
26.441	1	1	1	5300.47
26.481	1	1	1	5301.12
26.521	1	1	1	5301.74
26.561	1	1	1	5302.32
26.601	1	1	1	5302.88
26.641	1	1	1	5303.41
26.681	1	1	1	5303.91
26.721	1	1	1	5304.39
26.761	1	1	1	5304.85
26.801	1	1	1	5305.29
26.841	1	1	1	5305.71
26.881	1	1	1	5306.11
26.921	1	1	1	5306.49
26.961	1	1	1	5306.86
27.001	1	1	1	5307.21
27.041	1	1	1	5307.55
27.081	1	1	1	5307.88
27.121	1	1	1	5308.2
27.161	1	1	1	5308.5
27.201	1	1	1	5308.79
27.241	1	1	1	5309.07
27.281	1	1	1	5309.34
27.321	1	1	1	5309.61
27.361	1	1	1	5309.86
27.401	1	1	1	5310.11
27.441	1	1	1	5310.34
27.481	1	1	1	5310.57
27.521	1	1	1	5310.79
27.561	1	1	1	5311.01
27.601	1	1	1	5311.22
27.641	1	1	1	5311.42
27.681	1	1	1	5311.62
27.721	1	1	1	5311.81
27.761	1	1	1	5311.99
27.801	1	1	1	5312.17
27.841	1	1	1	5312.35
27.881	1	1	1	5312.52
27.921	1	1	1	5312.68
27.961	1	1	1	5312.84
28.001	1	1	1	5313
28.041	1	1	1	5313.15
28.081	1	1	1	5313.3
28.121	1	1	1	5313.44
28.161	1	1	1	5313.58
28.201	1	1	1	5313.72
28.241	1	1	1	5313.85
28.281	1	1	1	5313.98
28.321	1	1	1	5314.11
28.361	1	1	1	5314.24
28.401	1	1	1	5314.36
28.441	1	1	1	5314.48
28.481	1	1	1	5314.59
28.521	1	1	1	5314.71
28.561	1	1	1	5314.82
28.601	1	1	1	5314.93
28.641	1	1	1	5315.03
28.681	1	1	1	5315.13
28.721	1	1	1	5315.24
28.761	1	1	1	5315.34
28.801	1	1	1	5315.43
28.841	1	1	1	5315.53
28.881	1	1	1	5315.62
28.921	1	1	1	5315.71
28.961	1	1	1	5315.8
29.001	1	1	1	5315.89
29.041	1	1	1	5315.98
29.081	1	1	1	5316.06
29.121	1	1	1	5316.14
29.161	1	1	1	5316.22
29.201	1	1	1	5316.3
29.241	1	1	1	5316.38
29.281	1	1	1	5316.46
29.321	1	1	1	5316.53
